metric_key,metric_description,count_works,amount_inr,amount_crores
Allocated Limit for Hon'ble MPs,Allocated Limit for Hon'ble MPs,,83336673298.01,8333.67
Expenditure on Completed and On-going Works as on Date,Expenditure on Completed and On-going Works as on Date,,27913744688.45,2791.37
Works Recommended,Works Recommended,107539.0,57649982168.11,5765.0
Works Completed,Works Completed,34772.0,17056610072.73,1705.66
Works Sanctioned,Works Sanctioned,79693.0,41998714775.23,4199.87
Amount consented for Calamity,Amount consented for Calamity,12.0,40567400.0,4.06
